order_id,order_date,customer_id,product_id,category,region,channel,quantity,unit_price,discount_rate,unit_cost,year,quarter,month,week,dow,net_price,line_revenue,line_cogs,gross_profit,margin_pct
ORD100000,2023-03-06,C5767,P799,Furniture,Central,Online,1,230.46,0.1,146.53,2023,2023Q1,2023-03,10,Monday,207.41400000000002,207.41400000000002,146.53,60.884000000000015,0.29353852681111214
ORD100001,2024-07-11,C3342,P703,Office Supplies,South,Online,5,63.83,0.0,47.39,2024,2024Q3,2024-07,28,Thursday,63.83,319.15,236.95,82.19999999999999,0.2575591414695284
ORD100002,2024-04-16,C3060,P936,Furniture,Central,Online,6,286.74,0.09,221.4,2024,2024Q2,2024-04,16,Tuesday,260.9334,1565.6004,1328.4,237.20039999999995,0.15150762608389723
ORD100003,2023-11-12,C3902,P963,Furniture,Central,Retail,1,82.43,0.03,33.83,2023,2023Q4,2023-11,45,Sunday,79.95710000000001,79.95710000000001,33.83,46.12710000000001,0.5768981116123522
ORD100004,2023-11-08,C6376,P733,Technology,West,Online,4,35.17,0.08,15.32,2023,2023Q4,2023-11,45,Wednesday,32.3564,129.4256,61.28,68.1456,0.5265233462313483
ORD100005,2024-09-10,C3182,P433,Office Supplies,East,Online,3,251.84,0.0,138.87,2024,2024Q3,2024-09,37,Tuesday,251.84,755.52,416.61,338.90999999999997,0.44857846251588307
ORD100006,2023-03-03,C9226,P638,Technology,West,Online,1,329.41,0.01,267.79,2023,2023Q1,2023-03,9,Friday,326.1159,326.1159,267.79,58.32589999999999,0.17885021858793143
ORD100007,2024-05-17,C5318,P482,Office Supplies,Central,Online,8,427.8,0.22,247.79,2024,2024Q2,2024-05,20,Friday,333.684,2669.472,1982.32,687.1520000000003,0.2574112034140085
ORD100008,2023-05-26,C8768,P665,Technology,East,Retail,5,392.5,0.17,313.76,2023,2023Q2,2023-05,21,Friday,325.775,1628.875,1568.8,60.075000000000045,0.03688128309416011
ORD100009,2023-03-09,C7148,P830,Furniture,East,Online,7,429.33,0.21,261.07,2023,2023Q1,2023-03,10,Thursday,339.1707,2374.1949,1827.49,546.7049,0.23026959581119477
ORD100010,2024-01-15,C3999,P432,Technology,West,Retail,6,381.23,0.21,202.05,2024,2024Q1,2024-01,3,Monday,301.17170000000004,1807.0302000000001,1212.3000000000002,594.7302,0.32912023274431157
ORD100011,2024-12-03,C3054,P554,Office Supplies,South,Online,8,353.1,0.15,284.35,2024,2024Q4,2024-12,49,Tuesday,300.135,2401.08,2274.8,126.27999999999975,0.052592999816749024
ORD100012,2024-06-13,C7694,P141,Technology,Central,Online,9,10.02,0.06,6.54,2024,2024Q2,2024-06,24,Thursday,9.4188,84.7692,58.86,25.9092,0.30564403108676264
ORD100013,2024-07-02,C3976,P762,Furniture,Central,Online,6,314.92,0.02,177.05,2024,2024Q3,2024-07,27,Tuesday,308.6216,1851.7296000000001,1062.3000000000002,789.4295999999999,0.42632012794956664
ORD100014,2024-05-31,C3221,P540,Furniture,Central,Online,4,64.64,0.19,27.15,2024,2024Q2,2024-05,22,Friday,52.3584,209.4336,108.6,100.83360000000002,0.481458562522919
ORD100015,2024-07-19,C9372,P513,Furniture,East,Retail,4,34.04,0.11,15.32,2024,2024Q3,2024-07,29,Friday,30.2956,121.1824,61.28,59.9024,0.49431600628474104
ORD100016,2024-01-05,C5343,P578,Office Supplies,West,Online,8,82.42,0.3,38.13,2024,2024Q1,2024-01,1,Friday,57.693999999999996,461.55199999999996,305.04,156.51199999999994,0.3390993864179983
ORD100017,2023-04-03,C1437,P293,Technology,East,Online,4,412.53,0.07,232.74,2023,2023Q2,2023-04,14,Monday,383.65289999999993,1534.6115999999997,930.96,603.6515999999997,0.393357902416481
ORD100018,2024-08-27,C5452,P637,Furniture,South,Online,5,373.21,0.26,251.28,2024,2024Q3,2024-08,35,Tuesday,276.17539999999997,1380.877,1256.4,124.47699999999986,0.09014343782972695
ORD100019,2023-11-21,C5146,P769,Office Supplies,South,Online,2,474.64,0.09,255.55,2023,2023Q4,2023-11,47,Tuesday,431.9224,863.8448,511.1,352.74479999999994,0.4083427949094559
