order_id,order_date,customer_id,product_id,category,region,channel,quantity,unit_price,discount_rate,unit_cost
ORD100000,2023-03-06,C5767,P799,Furniture,Central,Online,1,230.46,0.1,146.53
ORD100001,2024-07-11,C3342,P703,Office Supplies,South,Online,5,63.83,0.0,47.39
ORD100002,2024-04-16,C3060,P936,Furniture,Central,Online,6,286.74,0.09,221.4
ORD100003,2023-11-12,C3902,P963,Furniture,Central,Retail,1,82.43,0.03,33.83
ORD100004,2023-11-08,C6376,P733,Technology,West,Online,4,35.17,0.08,15.32
ORD100005,2024-09-10,C3182,P433,Office Supplies,East,Online,3,251.84,0.0,138.87
ORD100006,2023-03-03,C9226,P638,Technology,West,Online,1,329.41,0.01,267.79
ORD100007,2024-05-17,C5318,P482,Office Supplies,Central,Online,8,427.8,0.22,247.79
ORD100008,2023-05-26,C8768,P665,Technology,East,Retail,5,392.5,0.17,313.76
ORD100009,2023-03-09,C7148,P830,Furniture,East,Online,7,429.33,0.21,261.07
ORD100010,2024-01-15,C3999,P432,Technology,West,Retail,6,381.23,0.21,202.05
ORD100011,2024-12-03,C3054,P554,Office Supplies,South,Online,8,353.1,0.15,284.35
ORD100012,2024-06-13,C7694,P141,Technology,Central,Online,9,10.02,0.06,6.54
ORD100013,2024-07-02,C3976,P762,Furniture,Central,Online,6,314.92,0.02,177.05
ORD100014,2024-05-31,C3221,P540,Furniture,Central,Online,4,64.64,0.19,27.15
ORD100015,2024-07-19,C9372,P513,Furniture,East,Retail,4,34.04,0.11,15.32
ORD100016,2024-01-05,C5343,P578,Office Supplies,West,Online,8,82.42,0.3,38.13
ORD100017,2023-04-03,C1437,P293,Technology,East,Online,4,412.53,0.07,232.74
ORD100018,2024-08-27,C5452,P637,Furniture,South,Online,5,373.21,0.26,251.28
ORD100019,2023-11-21,C5146,P769,Office Supplies,South,Online,2,474.64,0.09,255.55
ORD100020,2023-12-27,C8774,P414,Furniture,West,Retail,9,489.59,0.21,210.27
ORD100021,2023-09-24,C7403,P217,Furniture,West,Retail,6,447.18,0.24,232.16
ORD100022,2023-05-12,C2722,P447,Office Supplies,West,Online,3,70.8,0.02,41.34
ORD100023,2024-10-29,C2353,P278,Furniture,South,Retail,6,439.8,0.06,372.3
ORD100024,2024-07-16,C6431,P436,Furniture,West,Retail,4,420.13,0.02,242.35
ORD100025,2024-04-08,C1426,P663,Office Supplies,South,Online,2,436.19,0.0,191.98
ORD100026,2023-10-17,C3870,P201,Technology,West,Retail,8,80.08,0.15,52.97
ORD100027,2024-08-15,C2243,P771,Technology,Central,Online,8,62.81,0.08,51.12
ORD100028,2024-01-28,C1185,P301,Office Supplies,Central,Retail,8,462.29,0.1,348.57
ORD100029,2023-11-16,C9268,P904,Office Supplies,West,Retail,4,91.04,0.14,70.67
ORD100030,2023-11-21,C1808,P758,Technology,South,Online,3,187.47,0.0,153.3
ORD100031,2023-06-13,C1083,P345,Technology,Central,Retail,1,230.71,0.2,158.37
ORD100032,2023-03-08,C9395,P606,Furniture,South,Retail,7,66.6,0.07,56.46
ORD100033,2024-02-04,C2694,P199,Furniture,South,Online,3,15.21,0.14,6.31
ORD100034,2024-10-01,C8348,P189,Technology,East,Online,9,497.07,0.15,385.57
ORD100035,2023-02-15,C1281,P959,Office Supplies,East,Retail,8,438.95,0.21,344.86
ORD100036,2024-09-09,C2381,P821,Technology,Central,Retail,2,456.61,0.09,371.0
ORD100037,2024-08-18,C1995,P238,Furniture,West,Online,9,145.86,0.0,89.73
ORD100038,2023-07-19,C7355,P354,Furniture,West,Online,2,113.95,0.1,85.97
ORD100039,2024-03-30,C6580,P277,Furniture,East,Online,5,215.8,0.12,105.26
ORD100040,2023-04-29,C5279,P455,Office Supplies,West,Online,5,229.39,0.02,154.01
ORD100041,2024-06-29,C3174,P361,Office Supplies,West,Online,9,7.77,0.11,4.36
ORD100042,2024-05-19,C1799,P394,Furniture,West,Online,6,390.73,0.07,261.12
ORD100043,2023-09-13,C6122,P575,Office Supplies,Central,Online,8,498.35,0.0,350.84
ORD100044,2023-02-18,C3076,P269,Office Supplies,Central,Online,6,266.7,0.15,148.33
ORD100045,2024-11-29,C6311,P893,Furniture,West,Online,8,197.19,0.05,98.06
ORD100046,2023-11-17,C7186,P754,Office Supplies,East,Online,8,199.41,0.07,108.63
ORD100047,2024-10-05,C8644,P783,Furniture,Central,Retail,8,52.56,0.06,36.73
ORD100048,2024-05-03,C5445,P252,Office Supplies,East,Online,4,136.75,0.2,96.35
ORD100049,2024-07-14,C1042,P736,Furniture,West,Online,4,253.56,0.1,186.01
ORD100050,2024-07-01,C3525,P851,Technology,West,Online,9,218.76,0.11,99.96
ORD100051,2023-05-21,C8679,P257,Technology,East,Online,7,274.79,0.06,211.13
ORD100052,2023-09-20,C5798,P775,Technology,West,Online,9,425.29,0.14,301.81
ORD100053,2023-12-03,C6571,P421,Office Supplies,West,Online,6,116.49,0.21,48.2
ORD100054,2023-12-25,C5119,P808,Furniture,South,Online,9,18.69,0.15,10.3
ORD100055,2023-02-01,C2464,P530,Technology,South,Online,7,23.92,0.15,14.59
ORD100056,2024-01-29,C9069,P821,Technology,East,Online,7,71.41,0.15,40.15
ORD100057,2023-04-22,C7955,P232,Furniture,Central,Online,2,287.39,0.0,130.14
ORD100058,2024-06-19,C9955,P449,Furniture,Central,Retail,6,405.05,0.03,199.81
ORD100059,2024-05-06,C8698,P345,Office Supplies,West,Retail,7,443.97,0.08,182.5
ORD100060,2024-10-26,C3619,P323,Office Supplies,West,Online,7,319.38,0.04,141.13
ORD100061,2024-06-20,C3288,P377,Office Supplies,South,Online,9,204.56,0.01,106.34
ORD100062,2023-09-21,C3236,P443,Technology,West,Online,3,81.48,0.0,62.66
ORD100063,2024-11-27,C9268,P214,Technology,East,Online,3,203.7,0.0,129.75
ORD100064,2023-10-23,C6011,P735,Furniture,West,Online,9,169.55,0.08,100.21
ORD100065,2023-08-23,C5089,P594,Office Supplies,West,Online,9,435.66,0.09,304.08
ORD100066,2024-10-13,C9713,P845,Furniture,West,Online,2,245.93,0.04,158.3
ORD100067,2023-09-24,C6430,P733,Furniture,East,Online,4,116.97,0.11,53.71
ORD100068,2023-02-24,C9183,P233,Technology,East,Online,9,147.96,0.07,74.01
ORD100069,2023-12-05,C9860,P162,Technology,South,Retail,2,72.55,0.19,36.28
ORD100070,2024-07-26,C1714,P480,Furniture,East,Retail,8,459.7,0.09,307.99
ORD100071,2023-05-17,C4253,P532,Technology,Central,Online,2,29.92,0.16,18.18
ORD100072,2023-11-30,C7606,P315,Office Supplies,Central,Online,2,11.36,0.12,6.53
ORD100073,2023-04-04,C8317,P803,Furniture,Central,Online,8,95.58,0.0,62.17
ORD100074,2024-05-09,C2336,P622,Furniture,South,Retail,6,406.38,0.09,339.96
ORD100075,2023-12-09,C3865,P772,Furniture,East,Online,5,264.12,0.0,142.99
ORD100076,2023-08-26,C5933,P198,Technology,West,Online,8,314.79,0.09,199.6
ORD100077,2023-06-13,C8192,P832,Technology,East,Online,3,182.08,0.04,112.19
ORD100078,2024-02-11,C2016,P285,Technology,Central,Retail,5,39.0,0.13,28.18
ORD100079,2024-04-27,C6406,P502,Technology,Central,Online,6,428.8,0.0,312.44
ORD100080,2024-11-08,C3667,P494,Technology,South,Online,7,99.99,0.1,72.8
ORD100081,2023-11-11,C2946,P837,Furniture,West,Online,3,21.36,0.15,10.48
ORD100082,2023-04-26,C5638,P348,Technology,East,Online,6,288.49,0.17,173.7
ORD100083,2024-08-22,C4725,P316,Furniture,South,Online,5,46.23,0.04,35.37
ORD100084,2024-03-29,C6720,P405,Office Supplies,Central,Online,5,52.4,0.1,29.96
ORD100085,2024-05-19,C3858,P424,Office Supplies,South,Online,8,401.19,0.11,338.17
ORD100086,2023-03-12,C8408,P263,Technology,West,Online,4,248.35,0.22,140.11
ORD100087,2023-08-13,C1702,P258,Technology,West,Online,7,124.55,0.0,77.71
ORD100088,2024-07-06,C8756,P307,Office Supplies,West,Retail,9,177.57,0.03,108.95
ORD100089,2024-08-22,C1268,P520,Technology,Central,Online,7,365.97,0.32,217.81
ORD100090,2023-11-10,C7622,P408,Furniture,East,Online,9,37.85,0.08,29.54
ORD100091,2024-08-02,C4117,P452,Technology,South,Online,6,62.66,0.0,29.44
ORD100092,2024-08-29,C4449,P746,Technology,East,Online,3,310.05,0.05,203.22
ORD100093,2023-10-06,C1171,P316,Furniture,West,Online,9,305.45,0.0,207.21
ORD100094,2024-10-08,C7318,P917,Office Supplies,West,Retail,6,486.37,0.12,380.85
